appid,genre_id
730,1
1172470,1
1172470,2
578080,1
578080,2
578080,3
1623730,1
1623730,2
1623730,4
1623730,5
1623730,6
440,1
1938090,1
1063730,1
1063730,2
1063730,7
1063730,5
2358720,1
2358720,2
2358720,5
271590,1
271590,2
550,1
304930,1
304930,2
304930,8
304930,4
1599340,1
1599340,2
1599340,7
1599340,5
236390,1
236390,7
236390,9
2246340,1
2246340,2
2246340,5
553850,1
230410,1
230410,5
1245620,1
1245620,5
105600,1
105600,2
105600,4
105600,5
2694490,1
2694490,2
2694490,7
2694490,5
2694490,6
431960,8
431960,4
431960,10
431960,11
431960,12
431960,13
1086940,2
1086940,5
1086940,14
291550,1
291550,4
4000,8
4000,4
4000,9
1085660,1
1085660,2
359550,1
252490,1
252490,2
252490,4
252490,7
252490,5
552990,1
552990,7
552990,9
552990,14
346110,1
346110,2
346110,4
346110,7
346110,5
413150,4
413150,5
413150,9
242760,1
242760,2
242760,4
242760,9
1491000,1
1491000,9
238960,1
238960,2
238960,4
238960,7
238960,5
218620,1
218620,5
291480,1
291480,3
901583,1
901583,2
899770,1
899770,2
899770,4
899770,5
340,1
1091500,5
381210,1
990080,1
990080,2
990080,5
438100,2
438100,8
438100,7
438100,9
438100,15
438100,6
292030,5
945360,8
1097150,1
1097150,8
1097150,4
1097150,7
1097150,15
49520,1
49520,5
227300,4
227300,9
892970,1
892970,2
892970,4
892970,5
892970,6
739630,1
739630,4
739630,6
444090,1
444090,2
444090,7
444090,14
1203220,1
1203220,2
1203220,3
320,1
70,1
582010,1
227940,1
227940,4
227940,7
227940,14
252950,1
252950,4
252950,16
252950,15
108600,4
108600,5
108600,9
108600,6
1966720,1
1966720,2
1966720,4
1966720,6
1174180,1
1174180,2
1517290,1
1517290,2
1517290,8
1240440,1
648800,2
648800,4
648800,9
386360,1
386360,2
386360,8
386360,7
386360,5
386360,14
444200,1
444200,7
444200,9
444200,14
10,1
240,1
3164500,1
3164500,4
3164500,9
3164500,14
3164500,6
755790,1
755790,3
400,1
1222670,2
1222670,8
1222670,9
550650,1
322330,1
322330,2
322330,4
322330,5
322330,9
322330,14
239140,1
239140,5
477160,2
477160,8
477160,4
477160,9
251570,1
251570,2
251570,4
251570,5
251570,9
251570,14
100,1
1665460,9
1665460,15
417910,1
417910,7
417910,9
417910,15
433850,1
433850,2
433850,3
594650,1
814380,1
814380,2
1116170,1
1116170,2
1116170,4
1116170,5
220,1
107410,1
107410,9
107410,14
1326470,1
1326470,2
1326470,4
1326470,9
219990,1
219990,2
219990,4
219990,5
255710,9
255710,14
261550,1
261550,4
261550,5
261550,9
261550,14
8930,14
304050,1
304050,2
304050,8
304050,7
304050,5
289070,14
377160,5
532210,2
2186680,1
2186680,2
2186680,4
2186680,5
2186680,14
1238810,1
3241660,1
3241660,6
221100,1
221100,2
221100,3
526870,2
526870,4
526870,9
526870,14
1089350,9
1089350,15
632360,1
632360,4
1811260,9
1811260,15
204360,1
204360,2
204360,8
204360,4
204360,5
218230,1
218230,3
72850,5
394360,9
394360,14
489830,5
322170,1
322170,4
1446780,1
224260,1
224260,4
203160,1
203160,2
275850,1
275850,2
367520,1
367520,2
367520,4
301520,1
301520,4
301520,7
301520,5
301520,9
767560,1
2050650,1
2050650,2
466240,1
466240,4
284160,16
284160,9
284160,6
278360,2
278360,8
278360,4
264710,2
264710,4
80,1
370910,2
370910,4
40,1
275390,1
275390,2
275390,4
2881650,1
2881650,2
2881650,4
311210,1
311210,2
333930,1
1172620,1
1172620,2
22380,1
22380,5
250900,1
700330,1
10180,1
582660,1
582660,2
582660,7
582660,5
582660,14
1229490,1
1229490,4
1229490,6
1046930,8
1046930,14
1426210,1
1426210,2
2195250,9
2195250,15
2183900,1
2183900,2
2183900,5
883710,1
219640,1
219640,4
306130,1
306130,2
306130,7
306130,5
244210,4
244210,16
244210,9
244210,15
268500,14
1794680,1
1794680,8
1794680,4
1794680,5
1818750,1
242050,1
242050,2
30,1
236850,9
236850,14
363970,2
363970,8
363970,4
363970,5
363970,9
363970,14
253710,1
253710,2
253710,9
253710,15
379720,1
273350,1
1782210,1
1782210,8
1782210,4
1782210,16
844870,1
844870,6
601150,1
1286830,7
1286830,5
365670,10
365670,11
365670,17
319630,1
319630,2
1293830,16
1145360,1
1145360,4
1145360,5
671860,1
671860,7
671860,6
427520,8
427520,4
427520,9
427520,14
221380,14
231430,14
813820,1
813820,6
594570,1
594570,14
391540,4
391540,5
976730,1
646570,4
646570,14
588650,1
588650,2
588650,4
268910,1
268910,4
439700,3
500,1
1118200,1
1118200,8
1118200,4
1118200,9
620,1
620,2
1551360,1
1551360,2
1551360,16
1551360,9
1551360,15
1049590,4
1049590,14
380,1
360,1
779340,1
779340,14
233450,4
233450,9
233450,14
782330,1
223710,1
223710,2
223710,4
677620,1
677620,4
513710,1
513710,2
513710,4
513710,3
1677740,1
1677740,8
1677740,4
1677740,7
1677740,16
109600,1
109600,2
109600,7
109600,5
420,1
397900,2
397900,8
397900,4
397900,7
397900,9
397900,14
698780,8
698780,4
435150,2
435150,5
435150,14
1100600,9
1100600,15
1604030,1
1604030,2
1604030,3
534380,1
534380,2
534380,5
766570,2
766570,8
766570,7
766570,5
766570,9
766570,15
548430,1
294100,4
294100,9
294100,14
273110,1
273110,8
273110,4
273110,3
868270,1
868270,3
863550,1
1237970,1
555570,1
555570,4
555570,7
555570,5
10190,1
424840,2
2669320,9
2669320,15
518790,2
518790,9
518790,15
365590,1
365590,2
365590,5
223470,1
223470,2
223470,4
241930,18
346900,8
346900,4
3240220,1
3240220,2
3240220,16
440900,1
440900,2
440900,7
440900,5
440900,9
440900,14
374320,1
304390,1
1868140,2
1868140,8
1868140,5
1868140,9
208090,1
208090,4
48700,1
48700,5
2630,1
12210,1
12210,2
1144200,1
1144200,2
1144200,4
113400,1
113400,3
1332010,2
1332010,4
206420,1
206420,2
380600,7
380600,9
380600,15
225540,1
225540,2
285800,2
285800,8
285800,4
285800,5
285800,14
286690,1
223750,9
1593500,1
1593500,2
1593500,5
386180,1
386180,2
386180,7
386180,16
1238840,1
1238840,3
812140,1
812140,2
812140,5
1721470,1
1721470,2
1721470,4
960090,14
55230,1
262060,4
262060,5
262060,14
761890,7
761890,5
2001120,1
2001120,2
281990,9
281990,14
252130,2
252130,8
252130,4
211820,1
211820,2
211820,8
211820,4
211820,5
8190,1
8190,2
6060,1
508440,4
508440,9
508440,14
115300,1
42910,1
42910,5
39210,7
39210,5
1222680,1
1222680,2
1222680,16
1222680,15
351940,2
351940,8
351940,4
1250,1
2623190,5
323190,9
323190,14
1716740,5
813780,14
630,1
57300,1
57300,2
57300,4
395170,2
395170,8
395170,4
20920,5
212680,4
212680,9
212680,14
504370,1
286160,8
286160,4
286160,5
286160,9
286160,14
311690,1
311690,2
311690,4
355840,1
355840,7
355840,5
355840,6
1145350,1
1145350,4
1145350,5
1366800,1
1366800,2
1366800,4
1366800,10
1366800,11
1366800,19
1366800,12
1366800,13
1366800,20
1196590,1
613100,4
613100,9
1172380,1
1172380,2
202970,1
304430,1
304430,2
304430,4
3590,14
1260320,1
1260320,8
1260320,4
33930,1
33930,9
33930,14
212500,1
212500,2
212500,7
212500,5
457140,4
457140,9
620980,4
1222140,1
1222140,2
1817070,1
1817070,2
1817070,8
205100,1
205100,2
24240,1
1506830,9
1506830,15
871720,1
871720,4
962130,1
962130,2
356190,1
356190,2
356190,5
274190,1
274190,2
274190,8
274190,4
234140,1
234140,2
8500,1
8500,7
8500,5
8500,14
552520,1
552520,2
7670,1
7670,5
760160,1
1203620,1
1203620,2
1203620,4
1203620,5
1203620,6
270880,4
270880,9
601510,14
397540,1
397540,5
12120,1
236870,1
674940,1
674940,8
674940,4
884660,1
884660,3
701160,2
701160,4
701160,9
701160,14
1832640,2
1832640,4
1832640,5
1832640,6
208650,1
208650,2
48000,1
48000,2
48000,4
2379780,8
2379780,4
2379780,14
298110,1
298110,2
42710,1
200710,1
200710,2
200710,4
200710,5
203770,5
203770,9
203770,14
1903340,1
1903340,5
244850,1
244850,4
244850,9
244850,14
1366540,4
1366540,9
1366540,14
1366540,6
2709570,8
2709570,4
2709570,9
201270,14
389730,1
389730,15
10090,1
1259420,1
1259420,2
261640,1
261640,5
220200,4
220200,9
1142710,1
1142710,14
265630,1
265630,4
219150,1
219150,4
418460,1
418460,7
418460,9
418460,14
312990,1
312990,2
312990,4
211500,16
211500,9
211500,15
506540,1
506540,2
506540,4
506540,7
506540,14
20900,1
20900,5
552500,1
552500,4
552500,5
1057090,1
359320,1
359320,2
359320,7
359320,5
359320,9
359320,14
214950,14
9480,1
245170,1
245170,4
207610,2
35450,1
35450,7
35450,9
285900,1
285900,2
285900,8
285900,4
285900,9
232090,1
42680,1
918570,1
918570,4
918570,16
1771300,1
1771300,2
1771300,5
447040,1
447040,2
200510,14
361420,2
361420,4
33900,1
33900,9
33900,14
209080,1
209080,2
209080,4
209080,9
307780,1
335240,4
335240,3
403640,1
99900,1
99900,2
99900,8
99900,4
99900,7
99900,5
1289310,2
1289310,4
287700,1
287700,2
460930,1
460930,2
219740,2
219740,4
219740,9
96000,2
96000,8
96000,4
35720,1
35720,2
35720,4
387990,1
387990,2
387990,4
387990,9
387990,6
880940,1
880940,8
880940,4
409710,1
409710,5
686810,1
686810,4
686810,7
686810,9
686810,14
418370,1
418370,2
50130,1
1454400,8
1454400,4
1454400,9
1454400,14
379430,1
379430,2
379430,5
274170,1
274170,4
232770,1
232770,4
1363080,9
1363080,14
1363080,6
585690,1
585690,2
585690,8
585690,4
289650,1
289650,2
17410,1
17410,2
4560,1
4560,14
2479810,1
2479810,7
2479810,9
2479810,6
233130,1
233130,2
1056960,1
976310,1
202990,1
355180,1
678950,1
1151340,5
299360,1
299360,7
299360,14
213670,1
213670,2
213670,5
262410,1
262410,8
262410,4
262410,9
262410,14
224600,1
224600,7
224600,5
368230,4
368230,9
368230,14
3097560,8
3097560,4
3097560,9
3097560,14
3097560,6
335300,1
335300,5
233860,1
233860,4
233860,5
233860,9
233860,14
391720,2
391720,4
240720,1
838350,2
838350,8
838350,4
838350,5
838350,14
838350,6
238320,1
238320,2
238320,4
282070,2
282070,4
282070,9
412020,1
1158310,5
1158310,9
1158310,14
2567870,2
2567870,8
2567870,4
2567870,9
265930,8
265930,4
265930,9
214490,1
362890,1
362890,2
362890,4
438740,1
617290,1
617290,2
617290,5
588430,5
588430,9
1943950,1
1943950,4
203140,1
12100,1
905370,1
905370,7
905370,14
1056640,1
1056640,7
1056640,5
1942280,1
1942280,8
1942280,4
1942280,5
238460,1
238460,2
238460,8
238460,4
38400,5
881020,1
881020,2
881020,5
65800,1
65800,4
65800,5
65800,14
204880,1
204880,4
204880,9
204880,14
235460,1
581320,1
34330,14
387290,1
728880,1
728880,8
728880,4
391220,1
391220,2
8870,1
372000,7
372000,5
239030,2
239030,4
629760,1
629760,4
646910,1
646910,7
646910,16
367500,1
367500,2
367500,5
13520,1
967050,1
967050,2
967050,8
967050,4
967050,14
2399830,1
2399830,2
2399830,4
2399830,7
2399830,5
2399830,6
648350,9
648350,14
471710,2
471710,8
471710,3
1372880,1
1372880,2
1372880,7
1372880,6
524220,1
524220,5
305620,2
305620,4
305620,9
305620,14
475150,1
475150,5
47870,16
629520,21
629520,13
282440,1
436150,8
436150,7
436150,9
1304930,1
1304930,2
1304930,4
550900,1
550900,2
550900,7
550900,5
33230,1
33230,2
427730,1
427730,8
427730,4
221040,1
221040,2
1274570,4
1222700,1
1222700,2
1222700,4
1468810,1
1468810,2
1468810,4
1468810,5
1468810,9
287390,1
570940,1
1272080,1
1272080,2
1272080,5
316010,14
105450,9
105450,14
1167630,1
1167630,4
1167630,9
1167630,14
11020,16
12200,1
12200,2
881100,1
881100,2
881100,4
881100,5
881100,9
1313140,1
1313140,2
1313140,4
1313140,14
261570,1
1361210,1
1361210,2
1361210,5
221910,2
221910,4
238090,1
238090,2
242720,1
242720,4
1250410,9
644930,14
641990,4
641990,9
641990,14
1254120,1
1254120,7
1254120,5
222880,1
222880,4
222880,14
1569040,9
1569040,15
201790,1
201790,2
201790,4
201790,5
201790,14
203290,1
2670630,8
2670630,4
2670630,9
286570,16
286570,15
787860,9
466560,2
466560,4
466560,9
466560,14
207140,1
207140,8
207140,4
207140,16
207140,15
1092790,2
1092790,4
1092790,14
431240,8
431240,4
431240,15
248570,1
248570,4
248570,14
107100,1
107100,4
107100,5
209000,1
209000,2
24960,1
848450,2
848450,4
286940,1
286940,2
286940,15
286940,14
740130,1
740130,5
17390,1
17390,2
17390,8
17390,5
17390,9
17390,14
530700,1
2622380,1
2622380,5
220240,1
220240,2
1217060,1
1217060,2
1217060,4
1217060,5
1248130,9
437900,8
437900,4
437900,15
635260,7
635260,16
635260,9
635260,15
259080,1
259080,2
414340,1
414340,2
414340,4
42700,1
108710,1
108710,2
55100,1
1520470,1
1520470,2
1520470,7
1520470,5
1520470,14
644560,2
644560,4
