appid,median_forever,review_sentiment,score
730,6472,positive,5
1172470,896,positive,4
578080,5624,positive,3
1623730,2308,positive,5
440,4826,positive,5
1938090,715,positive,3
1063730,3901,positive,4
2358720,2885,positive,5
271590,5735,positive,5
550,514,positive,5
304930,327,positive,5
1599340,766,positive,4
236390,533,positive,4
2246340,3212,positive,3
553850,2359,positive,4
230410,531,positive,5
1245620,5539,positive,5
105600,2108,positive,5
2694490,2769,positive,4
431960,1011,positive,5
1086940,4800,positive,5
291550,246,positive,5
4000,1258,positive,5
1085660,493,positive,4
359550,2212,positive,5
252490,3102,positive,5
552990,300,positive,4
346110,903,positive,5
413150,1671,positive,5
242760,785,positive,5
1491000,241,positive,4
238960,477,positive,5
218620,516,positive,5
291480,177,positive,4
901583,0,positive,5
899770,2916,positive,4
340,0,positive,5
1091500,3149,positive,5
381210,1207,positive,4
990080,1645,positive,5
438100,143,positive,4
292030,911,positive,5
945360,680,positive,5
1097150,599,positive,5
49520,879,positive,5
227300,1685,positive,5
892970,1774,positive,5
739630,938,positive,5
444090,567,positive,5
1203220,507,positive,4
320,36,positive,5
70,131,positive,5
582010,3019,positive,5
227940,104,positive,4
252950,3109,positive,5
108600,887,positive,5
1966720,675,positive,5
1174180,1867,positive,5
1517290,907,negative,3
1240440,185,positive,4
648800,951,positive,5
386360,302,positive,4
444200,247,positive,4
10,183,positive,5
240,385,positive,5
3164500,1088,positive,5
755790,123,positive,4
400,173,positive,5
1222670,340,positive,5
550650,83,positive,4
322330,550,positive,5
239140,1093,positive,5
477160,351,positive,5
251570,1413,positive,5
100,28,positive,5
1665460,157,negative,3
417910,35,positive,3
433850,212,positive,3
594650,845,positive,4
814380,1596,positive,5
1116170,664,positive,5
220,322,positive,5
107410,924,positive,5
1326470,912,positive,5
219990,1008,positive,5
255710,873,positive,5
261550,5044,positive,5
8930,2702,positive,5
304050,213,positive,5
289070,1495,positive,5
377160,1940,positive,5
532210,212,positive,5
2186680,1530,positive,5
1238810,546,positive,4
3241660,585,positive,5
221100,2224,positive,4
526870,2068,positive,5
1089350,2041,negative,3
632360,1157,positive,5
1811260,5066,positive,3
204360,264,positive,5
218230,184,positive,5
72850,3040,positive,5
394360,3007,positive,5
489830,1234,positive,5
322170,438,positive,5
1446780,2477,positive,5
224260,97,positive,5
203160,465,positive,5
275850,1148,positive,5
367520,827,positive,5
301520,286,positive,4
767560,80,positive,4
2050650,1537,positive,5
466240,111,positive,4
284160,617,positive,5
278360,242,positive,5
264710,948,positive,5
80,31,positive,5
370910,271,positive,5
40,9,positive,5
275390,63,positive,5
2881650,195,positive,5
311210,1377,positive,5
333930,95,positive,5
1172620,1229,positive,5
22380,948,positive,5
250900,3274,positive,5
700330,98,positive,5
10180,487,positive,5
582660,249,positive,4
1229490,415,positive,5
1046930,377,positive,5
1426210,836,positive,5
2195250,4728,positive,3
2183900,841,positive,5
883710,774,positive,5
219640,248,positive,5
306130,1171,positive,5
244210,275,positive,5
268500,1271,positive,5
1794680,1249,positive,5
1818750,180,positive,4
242050,1343,positive,5
30,16,positive,5
236850,1402,positive,5
363970,621,positive,5
253710,50,positive,3
379720,524,positive,5
273350,127,positive,4
1782210,95,positive,5
844870,110,positive,4
601150,520,positive,5
1286830,364,positive,5
365670,257,positive,5
319630,208,positive,5
1293830,856,positive,5
1145360,992,positive,5
671860,588,positive,5
427520,3133,positive,5
221380,679,positive,5
231430,280,positive,4
813820,137,positive,4
594570,3159,positive,5
391540,346,positive,5
976730,740,positive,5
646570,1742,positive,5
588650,942,positive,5
268910,423,positive,5
439700,24,positive,3
500,137,positive,5
1118200,539,positive,5
620,484,positive,5
1551360,1408,positive,5
1049590,313,positive,4
380,0,positive,5
360,12,positive,4
779340,1629,positive,4
233450,611,positive,5
782330,626,positive,5
223710,61,positive,5
677620,238,positive,5
513710,1132,positive,4
1677740,120,positive,5
109600,383,positive,4
420,0,positive,5
397900,274,positive,4
698780,171,positive,5
435150,2400,positive,5
1100600,11597,positive,5
1604030,1505,positive,5
534380,1770,positive,4
766570,100,positive,3
548430,808,positive,5
294100,4118,positive,5
273110,81,positive,4
868270,111,positive,4
863550,237,positive,5
1237970,353,positive,5
555570,82,positive,3
10190,1273,positive,5
424840,95,positive,5
2669320,4360,negative,3
518790,369,positive,5
365590,1562,positive,4
223470,202,positive,5
241930,787,positive,5
346900,351,positive,5
3240220,335,positive,4
440900,1347,positive,4
374320,2591,positive,5
304390,676,positive,4
1868140,1009,positive,5
208090,168,positive,5
48700,1947,positive,5
2630,376,positive,5
12210,613,positive,5
1144200,715,positive,5
113400,188,positive,4
1332010,333,positive,5
206420,728,positive,5
380600,74,positive,5
225540,435,positive,5
285800,266,positive,5
286690,377,positive,5
223750,67,positive,5
1593500,1242,positive,5
386180,315,positive,4
1238840,486,positive,5
812140,2872,positive,5
1721470,62,positive,5
960090,1255,positive,5
55230,894,positive,5
262060,712,positive,5
761890,222,positive,4
2001120,924,positive,5
281990,1450,positive,5
252130,31,positive,5
211820,1028,positive,5
8190,182,positive,5
6060,186,positive,5
508440,317,positive,5
115300,0,positive,5
42910,269,positive,5
39210,3172,positive,5
1222680,435,positive,5
351940,256,positive,5
1250,274,positive,5
2623190,921,positive,5
323190,521,positive,5
1716740,2199,positive,3
813780,819,positive,5
630,174,positive,5
57300,76,positive,5
395170,253,positive,5
20920,258,positive,5
212680,650,positive,5
504370,185,positive,5
286160,509,positive,5
311690,416,positive,5
355840,63,positive,3
1145350,1544,positive,5
1366800,12061,positive,5
1196590,951,positive,5
613100,620,positive,5
1172380,753,positive,5
202970,98,positive,5
304430,222,positive,5
3590,683,positive,5
1260320,374,positive,4
33930,272,positive,5
212500,194,positive,5
457140,778,positive,5
620980,676,positive,5
1222140,660,positive,5
1817070,1364,positive,5
205100,568,positive,5
24240,208,positive,5
1506830,6343,positive,5
871720,85,positive,5
962130,875,positive,5
356190,1275,positive,5
274190,315,positive,5
234140,765,positive,5
8500,197,positive,4
552520,1399,positive,5
7670,148,positive,5
760160,142,positive,4
1203620,1182,positive,5
270880,761,positive,5
601510,222,positive,5
397540,1306,positive,5
12120,240,positive,5
236870,415,positive,5
674940,217,positive,5
884660,63,positive,4
701160,677,positive,5
1832640,150,negative,2
208650,583,positive,5
48000,112,positive,5
2379780,1111,positive,5
298110,1051,positive,5
42710,449,positive,5
200710,601,positive,5
203770,258,positive,5
1903340,1924,positive,5
244850,864,positive,5
1366540,1154,positive,5
2709570,196,positive,5
201270,0,positive,5
389730,555,positive,5
10090,828,positive,5
1259420,1030,positive,5
261640,549,positive,4
220200,761,positive,5
1142710,3242,positive,4
